Localidad	Población.total	Viviendas particulares habitadas	Población de 15 años o más analfabeta	Población de 15 años o más sin primaria completa	Viviendas particulares habitadas sin excusado	Viviendas particulares habitadas sin energía eléctrica	Viviendas particulares habitadas sin disponibilidad de agua entubada	Promedio de ocupantes por cuarto en viviendas particulares habitadas	Viviendas particulares habitadas con piso de tierra	Viviendas particulares habitadas que no disponen de refrigerador	Índice de marginación	Grado de marginación	"Índice de marginación escala 
0 a 100"	Lugar que ocupa en el contexto nacional	Lugar que ocupa en el contexto  estatal
Cañas	24	6	22.22	72.22	0	66.67	100	2	16.67	100	1.1038	Muy alto	23.4144	 14 998	65
Las Cañas	40	16	16.13	41.94	12.5	12.5	75	0.89	6.25	12.5	-0.5198	Alto	10.5256	 69 031	771
El Carrizal (Carretera A la Soledad)	26	7	0	9.52	0	0	85.71	1.18	14.29	28.57	-0.9251	Medio	7.3079	 90 430	 1 349
La Carroza	124	30	2.78	26.76	0	0	27.59	1.29	3.33	10	-1.0653	Medio	6.1951	 96 662	 1 555
La Cáscara	142	41	0.96	30.69	2.44	0	21.95	1.27	4.88	7.32	-1.0641	Medio	6.2042	 96 611	 1 553
Cieneguillas	104	30	4	22.97	0	0	3.33	1.27	3.33	6.67	-1.1912	Bajo	5.1953	 101 020	 1 732
El Colorado	49	14	5.88	45.45	0	42.86	64.29	1.81	7.14	50	-0.0476	Alto	14.2738	 46 387	367
El Coronel	53	16	13.16	48.65	6.25	6.25	68.75	1.71	18.75	18.75	-0.2376	Alto	12.766	 54 740	486
Coyonoxtle	96	27	7.46	26.15	7.41	3.7	18.52	1.48	0	29.63	-0.8282	Medio	8.0775	 85 516	 1 177
Los Cuates	19	10	16.67	33.33	10	0	70	1.12	40	20	-0.365	Alto	11.7542	 60 886	607
Valle Hidalgo (El Cueral)	32	11	17.86	46.43	9.09	9.09	0	1.07	0	9.09	-0.7509	Alto	8.6907	 81 369	 1 059
Chapotal	68	18	6.38	38.3	22.22	5.56	16.67	1.36	0	16.67	-0.7412	Alto	8.7675	 80 857	 1 039
Charco de la Anacua	16	5	18.18	54.55	20	20	60	1.6	20	40	0.1276	Alto	15.665	 39 540	291
Chihuahua	143	38	5.26	31.91	0	0	89.47	1.64	7.89	13.16	-0.6377	Alto	9.5896	 75 255	908
El Desagüe	148	40	2.8	18.45	0	0	35	0.83	2.5	0	-1.3152	Bajo	4.2107	 103 835	 1 870
Los Encinos	66	20	5.56	49.06	15	15	85	1.32	5.26	20	-0.3631	Alto	11.7692	 60 780	602
La Escondida	16	3	0	54.55	33.33	33.33	100	2.29	0	33.33	0.1997	Alto	16.2377	 36 977	266
La Espía de Arriba	14	3	0	10	0	33.33	33.33	1.4	0	33.33	-0.8923	Medio	7.568	 88 832	 1 293
Las Flores	24	11	13.04	69.57	0	0	0	0.86	0	9.09	-0.749	Alto	8.7057	 81 275	 1 055
El Fraile	557	187	2.91	25.43	2.14	0.53	2.69	0.85	1.07	4.28	-1.3117	Bajo	4.2388	 103 778	 1 865
Fuera Vacas	46	14	9.09	45.45	14.29	7.14	78.57	1.05	7.14	14.29	-0.5235	Alto	10.4961	 69 236	777
El Galeme	92	25	2.94	21.21	4	0	84	1.1	8	4	-0.9691	Medio	6.9585	 92 477	 1 418
La Garita	54	17	2.22	31.82	5.88	0	0	0.96	0	0	-1.2506	Bajo	4.7236	 102 593	 1 796
El Huarache	10	3	12.5	37.5	0	0	100	1.25	0	0	-0.6989	Alto	9.1035	 78 552	979
La Almira	307	81	5.12	18.96	3.7	0	27.5	1.26	7.41	2.47	-1.1176	Bajo	5.7798	 98 684	 1 628
Huertas (Estación)	134	39	5.71	38.1	2.56	2.56	7.69	1.26	20.51	17.95	-0.7915	Alto	8.3687	 83 565	 1 128
Lampacitos	27	10	10.53	52.63	70	0	80	1.35	50	20	0.2621	Alto	16.7328	 34 793	243
Los Laureles	79	23	1.85	25.93	4.35	0	68.18	1.27	4.55	4.35	-0.9603	Medio	7.0281	 92 080	 1 402
Los Lirios (Hacienda los Lirios)	250	72	3.3	22.91	12.5	0	43.06	1.26	5.56	9.72	-0.9689	Medio	6.9603	 92 468	 1 417
La Loma	12	3	16.67	16.67	66.67	0	100	2.4	0	0	-0.1505	Alto	13.4571	 50 823	429
San Rafael del Llano (Macuña)	128	33	3.88	23.53	0	3.03	18.18	1.27	6.06	9.09	-1.0871	Bajo	6.022	 97 527	 1 580
Mexiquito	36	11	0	0	0	0	0	0.55	0	0	-1.739	Muy bajo	0.8462	 107 335	 2 037
La Morita	129	38	2.08	35.79	5.26	2.63	76.32	0.97	5.26	5.26	-0.8837	Medio	7.6368	 88 395	 1 274
Ojo de Agua	63	20	4.44	25	10	0	55	1	0	0	-1.0782	Bajo	6.0928	 97 187	 1 567
El Olmito	23	7	5.26	36.84	14.29	0	85.71	0.95	0	0	-0.8407	Medio	7.9778	 86 170	 1 201
Las Ovejas	58	18	7.14	28.57	0	0	16.67	0.94	11.11	0	-1.1306	Bajo	5.6766	 99 126	 1 648
La Palma	73	24	1.79	32.14	4.17	0	8.33	1	0	0	-1.2251	Bajo	4.9265	 101 989	 1 774
El Palomar	15	3	0	33.33	0	100	100	1.67	0	100	0.4432	Alto	18.1701	 29 297	185
Las Palomas (La Curva)	102	28	2.82	23.19	7.14	0	32.14	1.31	3.57	10.71	-1.0324	Medio	6.456	 95 262	 1 500
Palo Seco	56	16	5	44.74	0	0	75	1.24	18.75	0	-0.675	Alto	9.2932	 77 341	951
El Pastor	136	44	9.8	33.33	2.27	0	36.36	1.02	13.64	2.27	-0.9206	Medio	7.3438	 90 201	 1 335
El Perico	8	4	0	28.57	0	0	100	0.89	100	0	-0.3518	Alto	11.859	 60 204	591
El Ranchito (La Petaca)	45	13	2.86	20	15.38	0	61.54	1.29	0	15.38	-0.9226	Medio	7.3278	 90 292	 1 339
El Pilón Viejo (El Pilón)	60	19	13.64	46.34	5.26	0	31.58	1	0	0	-0.8555	Medio	7.8605	 86 960	 1 231
Portales	9	4	0	50	0	0	75	1.13	50	0	-0.5	Alto	10.6829	 67 947	749
El Porvenir	12	4	30	80	0	100	100	1.2	25	100	1.323	Muy alto	25.1547	 11 928	46
San Agustín de los Arroyos (Pueblo Nuevo)	63	22	4	40.82	0	0	31.82	0.97	4.55	0	-1.0371	Medio	6.4184	 95 471	 1 511
Las Puentes	268	78	3.11	24.87	3.85	1.3	2.6	1.01	3.9	11.54	-1.1933	Bajo	5.179	 101 080	 1 737
El Puentón	16	3	0	0	0	0	0	1	0	0	-1.616	Muy bajo	1.8227	 106 657	 2 026
Puerto de las Flores	36	12	19.23	42.31	8.33	0	91.67	1.09	8.33	8.33	-0.4815	Alto	10.8295	 66 937	725
Raíces	163	48	5.22	34.55	0	0	31.25	1.04	4.17	4.17	-1.044	Medio	6.3641	 95 770	 1 519
Rancho de Enmedio	10	3	0	11.11	0	0	100	1.11	33.33	0	-0.9241	Medio	7.3158	 90 369	 1 343
Rancho Escondido	196	53	6.47	22.06	1.89	0	0	0.97	1.89	1.89	-1.29	Bajo	4.411	 103 406	 1 841
La Reforma	34	10	7.41	40.74	30	0	30	1.36	40	30	-0.2938	Alto	12.3192	 57 383	536
La Retama	25	8	5	20	0	0	0	0.96	0	0	-1.3669	Muy bajo	3.8004	 104 582	 1 919
El Roble	19	8	5.88	31.25	12.5	0	62.5	0.9	12.5	12.5	-0.8252	Medio	8.1012	 85 367	 1 171
El Roble	11	3	0	44.44	0	0	33.33	0.92	0	0	-1.0914	Bajo	5.9876	 97 716	 1 588
Salitrillo	9	5	0	66.67	40	100	100	0.69	0	100	0.7374	Muy alto	20.5057	 21 922	118
San Miguel	341	106	2.81	21.95	5.66	2.86	11.43	0.93	0.95	7.55	-1.2435	Bajo	4.7804	 102 439	 1 788
San Pedro	21	4	7.14	9.09	0	0	0	2.33	0	25	-0.9221	Medio	7.3315	 90 269	 1 337
Santa Cruz	127	33	5	25.64	6.06	0	63.64	1.07	0	3.03	-1.0225	Medio	6.5346	 94 850	 1 485
San Vicente	37	11	0	17.24	0	0	100	1.16	0	0	-1.0798	Bajo	6.0797	 97 256	 1 569
El Sauz	48	16	23.08	50	12.5	0	0	1.26	0	18.75	-0.5765	Alto	10.0755	 72 035	830
La Soledad	13	3	25	25	0	0	100	1.44	0	0	-0.6143	Alto	9.7748	 74 019	879
Los Tamez	13	8	15.38	69.23	0	0	62.5	0.65	12.5	0	-0.5479	Alto	10.302	 70 506	803
Tanguma	58	22	2.44	50	9.09	0	45.45	0.87	13.64	13.64	-0.7511	Alto	8.6888	 81 385	 1 061
El Taray (Miralomas)	20	6	7.14	46.15	0	16.67	33.33	1.43	0	16.67	-0.6418	Alto	9.5569	 75 489	912
El Terrebel	14	7	7.69	53.85	28.57	0	85.71	1.08	0	14.29	-0.4372	Alto	11.1809	 64 643	684
El Terrero	82	27	15.52	37.93	7.41	0	96.15	1.11	0	11.11	-0.5973	Alto	9.9105	 73 118	857
Tierras Coloradas	107	35	13.79	43.02	2.86	0	17.14	1.14	5.71	2.86	-0.8518	Medio	7.8894	 86 789	 1 224
El Toro	152	44	9.62	40.38	2.27	2.27	2.27	1.15	9.09	22.73	-0.821	Medio	8.1342	 85 160	 1 163
El Tunal	14	5	22.22	55.56	0	0	60	1.08	0	0	-0.5744	Alto	10.0919	 71 919	826
La Unión	101	27	4.17	30.56	3.7	0	3.7	1.22	0	7.41	-1.1236	Bajo	5.7317	 98 911	 1 637
Valle Hidalgo (La Cotorra)	110	41	7.45	34.41	2.44	0	53.66	0.9	0	2.44	-1.0086	Medio	6.6452	 94 225	 1 465
El Vaquero	10	4	0	37.5	25	75	100	0.91	25	100	0.4397	Alto	18.1428	 29 396	187
La Ventura	31	13	7.69	28	15.38	7.69	92.31	1.19	7.69	15.38	-0.6107	Alto	9.8041	 73 816	873
Denes	20	5	0	20	0	0	0	1.54	0	0	-1.2708	Bajo	4.5631	 103 033	 1 821
La Yerbabuena	26	8	11.11	44.44	0	0	62.5	1.24	12.5	0	-0.685	Alto	9.2143	 77 853	961
Yerbaniz	66	18	4.76	35.71	0	0	5.88	1.35	5.56	11.11	-0.9835	Medio	6.8443	 93 128	 1 437
Alto el Coyote	27	7	5.26	26.32	0	0	14.29	1.35	14.29	14.29	-0.9636	Medio	7.0024	 92 232	 1 406
Mohínos	21	8	0	68.75	12.5	0	85.71	1.4	14.29	37.5	-0.153	Alto	13.4373	 50 944	431
San Agustín	15	6	0	23.08	16.67	16.67	50	0.94	16.67	16.67	-0.8273	Medio	8.0841	 85 471	 1 175
El Fraile (El Faro)	318	92	6.49	31.86	0	1.09	7.61	1.04	6.52	2.17	-1.1198	Bajo	5.7619	 98 770	 1 634
El Álamo	13	5	0	44.44	0	0	80	0.87	0	0	-0.9547	Medio	7.0726	 91 806	 1 392
Palo Alto	18	8	20	66.67	0	0	50	0.95	0	0	-0.5601	Alto	10.2053	 71 132	814
El Nogalito (El Barranco)	113	37	8.99	44.32	5.41	0	27.03	1.08	5.41	8.11	-0.8391	Medio	7.9904	 86 086	 1 191
Hacienda de Enmedio	218	66	4.94	35	18.18	4.55	12.31	1.31	1.52	12.12	-0.8664	Medio	7.7738	 87 511	 1 250
El Álamo	11	5	9.09	36.36	0	0	40	0.65	0	20	-0.9889	Medio	6.8012	 93 390	 1 443
La Piedra Parada	12	3	0	83.33	0	0	100	1.5	100	0	0.356	Alto	17.4779	 31 820	210
General Escobedo	246	59	3.95	18.79	0	0	23.73	1.12	3.39	5.08	-1.2177	Bajo	4.9853	 101 787	 1 764
Hacienda Santa Elena	19	6	5.26	42.11	33.33	0	83.33	1	0	0	-0.6719	Alto	9.318	 77 158	948
San José	28	8	0	10.53	0	0	75	1.47	12.5	0	-1.0557	Medio	6.2708	 96 247	 1 539
La Mesa	24	6	0	47.37	33.33	0	100	1.26	16.67	16.67	-0.345	Alto	11.9131	 59 826	583
Altamira (Campo Verde)	5	4	0	20	25	100	100	0.56	50	100	0.4984	Alto	18.6087	 27 777	170
El Gavilán	50	14	17.14	36.36	0	0	42.86	1.28	7.14	14.29	-0.6923	Alto	9.1562	 78 220	972
La Curva (Hacienda los Librados)	35	9	0	27.27	11.11	0	22.22	1.84	0	11.11	-0.9135	Medio	7.4001	 89 855	 1 322
Los Encinos	27	10	15.79	68.42	0	0	100	1.13	30	10	-0.1176	Alto	13.7182	 49 403	408
Azafrán	29	8	0	31.82	0	0	50	1.32	0	0	-1.0531	Medio	6.2915	 96 147	 1 535
Las Misiones	13	3	0	28.57	0	0	100	1.63	0	0	-0.8394	Medio	7.9882	 86 100	 1 194
Las Caleras (Almacenes)	88	25	4.55	43.08	0	8	84	1.38	20	48	-0.2811	Alto	12.4205	 56 779	522
Canoas	28	10	0	34.78	0	0	40	0.85	0	0	-1.1845	Bajo	5.2484	 100 838	 1 722
Los Reyes	14	4	0	11.11	0	0	0	1.56	0	0	-1.3532	Muy bajo	3.9093	 104 398	 1 904
La Escuadra	22	6	14.29	28.57	16.67	0	20	2.2	0	16.67	-0.565	Alto	10.1664	 71 400	817
La Espía de Abajo	28	7	5	15	0	0	28.57	1.75	0	0	-1.1083	Bajo	5.8531	 98 339	 1 610
El Gavilán	60	14	8.11	45.95	0	0	0	2.61	0	0	-0.6208	Alto	9.724	 74 357	893
La Hacienda	18	5	8.33	33.33	0	0	0	1.29	0	0	-1.1033	Bajo	5.8928	 98 153	 1 602
Juan González (Cieneguilla)	15	4	16.67	33.33	0	0	0	1.5	25	0	-0.7694	Alto	8.544	 82 383	 1 095
Laborcitas	29	7	5.56	47.06	0	0	85.71	2.23	14.29	0	-0.3708	Alto	11.7081	 61 160	613
Las Cañas	35	14	0	34.62	0	0	14.29	0.8	0	0	-1.2827	Bajo	4.4692	 103 264	 1 836
La Mesa (San Ángel)	5	3	0	40	0	0	66.67	0.56	0	0	-1.1263	Bajo	5.7104	 99 000	 1 643
La Morita	16	6	10	80	0	0	16.67	0.8	0	33.33	-0.4999	Alto	10.6836	 67 940	748
María Guadalupe	27	5	0	64.29	0	0	20	2.45	20	40	-0.14	Alto	13.5405	 50 385	421
Pito Real	7	3	20	60	0	100	100	0.88	0	100	0.7405	Muy alto	20.5308	 21 851	117
La Presa	27	8	15.79	44.44	0	0	62.5	1.35	0	12.5	-0.607	Alto	9.8331	 73 611	869
Puerta de la Boca	8	4	0	75	0	0	25	0.67	25	0	-0.7122	Alto	8.9978	 79 260	998
La Reforma (Campestre el Fraile)	17	7	14.29	42.86	14.29	42.86	71.43	1.13	28.57	42.86	0.0565	Alto	15.1006	 42 194	316
El Rincón de Leal	10	3	12.5	62.5	0	100	33.33	1.43	66.67	100	1.067	Muy alto	23.1226	 15 636	71
La Garita (El Salitre)	22	11	14.29	47.62	0	0	0	0.65	0	9.09	-1.0077	Medio	6.6518	 94 189	 1 460
El Saltillero Uno	25	6	18.75	68.75	0	0	16.67	1.79	0	0	-0.433	Alto	11.2149	 64 404	677
Los Azahares	125	35	8	32.88	0	5.71	14.29	1.02	5.71	17.14	-0.9612	Medio	7.0212	 92 127	 1 404
Espinoza	17	5	7.14	14.29	20	0	80	1.89	0	60	-0.4051	Alto	11.4361	 62 943	649
Septiembre	32	9	5.26	15.79	0	0	0	1.52	0	0	-1.2522	Bajo	4.7114	 102 623	 1 797
Tierras Coloradas	59	17	5.26	34.21	5.88	0	6.25	1.16	0	17.65	-1.0074	Medio	6.6548	 94 173	 1 458
Loma Prieta	214	63	1.27	18.24	0	0	3.17	0.82	1.59	4.76	-1.4192	Muy bajo	3.3855	 105 174	 1 951
San Pedro de la Rosa	10	4	10	40	25	25	100	0.91	25	25	-0.1743	Alto	13.2682	 51 882	452
San Juan de Ocampo	10	5	11.11	33.33	20	0	100	0.83	20	40	-0.3757	Alto	11.6692	 61 418	618
Las Hormigas	12	4	0	12.5	0	0	0	0.71	0	0	-1.5718	Muy bajo	2.1739	 106 343	 2 013
Buena Vista	26	7	10	30	0	0	57.14	1.37	0	14.29	-0.823	Medio	8.1182	 85 253	 1 166
La Pitaya	6	3	60	80	0	0	100	0.75	33.33	0	0.4076	Alto	17.8878	 30 262	192
Ignacio Ramírez	149	40	1.83	24.3	5	2.5	82.5	1.15	0	7.5	-0.9563	Medio	7.0602	 91 883	 1 395
Pilón Viejo	25	6	6.25	33.33	0	0	33.33	1.39	0	0	-0.9947	Medio	6.7557	 93 636	 1 445
El Siete	13	3	0	0	0	0	0	1.44	0	0	-1.4958	Muy bajo	2.7774	 105 827	 1 983
La Unión	14	4	0	33.33	50	0	100	1.27	25	0	-0.4274	Alto	11.2591	 64 109	671
San Juan de Ocampo (El Laberinto)	15	4	0	77.78	0	0	100	1.25	0	0	-0.4571	Alto	11.0232	 65 647	706
Puerto la Cantera	42	8	12.9	23.33	0	0	25	1.83	0	12.5	-0.8413	Medio	7.9735	 86 196	 1 202
Mexiquito (Menchaca)	16	5	14.29	35.71	0	0	60	0.8	0	20	-0.825	Medio	8.1023	 85 360	 1 170
El Ranchito (El Palomar)	14	4	0	50	0	0	75	1.56	0	0	-0.7274	Alto	8.8777	 80 104	 1 018
Las Latitas	102	27	3.95	14.29	0	0	7.41	1.03	0	7.41	-1.3487	Muy bajo	3.9452	 104 339	 1 900
Lienzo Charro	29	8	5.26	26.32	0	0	50	1.45	0	12.5	-0.9305	Medio	7.2646	 90 681	 1 357
Los Ángeles	29	5	39.13	60.87	0	0	100	1.53	40	0	0.2171	Alto	16.3754	 36 329	258
El Saucito	79	17	1.82	23.08	5.88	0	17.65	1.44	5.88	0	-1.1134	Bajo	5.8129	 98 539	 1 620
Las Parcelas	11	4	12.5	25	0	0	0	0.92	0	25	-1.0834	Bajo	6.0511	 97 378	 1 577
El Charco	5	3	25	25	33.33	50	100	1.67	50	66.67	0.7006	Alto	20.2136	 22 710	127
El Consuelo (Echavarría)	66	14	0	7.69	0	0	21.43	1.38	0	0	-1.3671	Muy bajo	3.7986	 104 588	 1 920
El Blanquillo Viejo	71	22	5.77	40	9.09	0	86.36	1.29	9.09	0	-0.6757	Alto	9.2879	 77 380	954
El Sauz (Granja)	47	13	24.14	57.14	7.69	0	0	1.52	0	15.38	-0.4699	Alto	10.9213	 66 339	719
El Fraile (Avícola)	133	33	8.43	37.35	0	0	0	1.64	3.03	0	-0.9458	Medio	7.1432	 91 397	 1 378
El Charco (Granja)	10	3	0	28.57	66.67	0	0	10	0	100	2.1194	Muy alto	31.4776	 4 521	7
Leal (Avícola)	8	3	20	100	0	0	100	1.14	0	0	-0.0178	Alto	14.5108	 45 171	357
Hacienda Paso Lozano (La Reforma)	21	6	6.25	35.71	0	0	16.67	1.05	16.67	0	-1.0028	Medio	6.6912	 93 989	 1 451
El Ebanito	8	3	0	0	33.33	0	100	1.14	33.33	33.33	-0.6299	Alto	9.6511	 74 842	900
La Trinidad	112	35	1.3	50.67	2.86	5.71	88.57	1.17	11.43	88.57	-0.1004	Alto	13.8553	 48 657	397
Gil de Leyva (Camino A las Puentes)	14	4	0	12.5	0	0	25	1	0	0	-1.412	Muy bajo	3.4425	 105 102	 1 948
Parada la Esmeralda	6	3	0	16.67	0	0	100	1.2	33.33	0	-0.8446	Medio	7.9469	 86 389	 1 209
El Cometa	6	3	0	83.33	33.33	0	66.67	0.67	33.33	0	-0.2442	Alto	12.7131	 55 040	491
Portal del Valle	9	3	0	0	0	0	66.67	1.29	33.33	0	-1.0921	Bajo	5.9824	 97 739	 1 590
Coyonoxtle	22	5	7.69	15.38	0	0	20	1.57	0	0	-1.1477	Bajo	5.5405	 99 715	 1 671
Rincón de los Toros (San Pepito)	32	9	8	28	0	0	22.22	1.28	0	0	-1.0913	Bajo	5.9881	 97 713	 1 587
Entrada A las Cañas	18	5	15.38	50	0	0	40	0.86	0	0	-0.8393	Medio	7.9893	 86 091	 1 192
La Peñita	28	11	18.18	45.45	27.27	22.22	44.44	1.65	11.11	45.45	0.0291	Alto	14.8831	 43 269	325
El Bosque	109	27	2.56	17.33	0	0	0	1.09	7.41	3.7	-1.3146	Bajo	4.2154	 103 821	 1 866
Los Encinos	14	2	0	0	0	0	0	2.2	0	50	-0.9853	Medio	6.8296	 93 206	 1 440
Los Pinos	10	3	0	57.14	0	0	100	1.11	0	33.33	-0.4974	Alto	10.703	 67 811	743
Los Polvorines	10	3	10	22.22	33.33	0	33.33	1.43	0	33.33	-0.6509	Alto	9.4845	 76 017	927
El Ranchito (Avícola)	21	5	0	0	0	0	0	1.75	0	0	-1.4111	Muy bajo	3.45	 105 092	 1 947
Entrada A Chihuahua	18	4	15.38	23.08	0	0	100	1.2	25	0	-0.6466	Alto	9.5189	 75 771	919
La Luz	9	3	0	0	0	0	33.33	0.75	0	0	-1.577	Muy bajo	2.1327	 106 370	 2 015
La Peñita	41	11	6.25	21.88	0	0	63.64	1.46	0	18.18	-0.881	Medio	7.6577	 88 249	 1 270
Las Arboledas	60	22	6.38	42.55	9.09	27.27	100	1.22	13.64	45.45	-0.1426	Alto	13.5201	 50 487	423
Ampliación los Laureles	31	7	15.79	57.89	0	0	0	1.55	0	0	-0.6965	Alto	9.1229	 78 423	976
Lomas de San Francisco	11	3	16.67	16.67	0	0	33.33	2.2	0	0	-0.8078	Alto	8.2389	 84 416	 1 141
Bronco	10	3	0	0	0	0	0	1.67	33.33	0	-1.203	Bajo	5.1019	 101 374	 1 748
Benito Juárez	43	10	10	35.71	0	10	20	1.05	10	10	-0.8687	Medio	7.7554	 87 624	 1 256
Padre Mier	187	47	1.6	11.97	0	0	0	0.95	4.26	0	-1.4621	Muy bajo	3.0444	 105 558	 1 971
Los Olivos	37	9	0	17.65	0	0	0	2.18	0	0	-1.1192	Bajo	5.7672	 98 747	 1 633
Monterrey	1 135 512	 293 530	2.26	11.29	2.64	0.1	0.98	0.85	1.94	5.87	-1.4493	Muy bajo	3.1467	 105 447	 1 966
Parás	788	244	5.6	26.06	0.82	0.82	1.64	0.85	0	2.87	-1.2971	Bajo	4.3549	 103 539	 1 849
Cinco de Mayo	42	12	0	6.06	8.33	0	0	1.11	0	8.33	-1.4272	Muy bajo	3.3221	 105 264	 1 953
Charco Blanco	22	8	4.55	50	0	0	25	1.1	0	0	-0.9574	Medio	7.0516	 91 942	 1 398
Emiliano Zapata	51	11	12.12	41.94	18.18	9.09	9.09	1.65	18.18	9.09	-0.5008	Alto	10.6761	 67 998	751
El Progreso (Tres Guerra)	35	5	5.56	41.18	0	0	20	1.61	0	0	-0.9087	Medio	7.4384	 89 633	 1 319
El Tanque	38	15	0	26.92	6.67	0	66.67	0.81	0	0	-1.1484	Bajo	5.535	 99 739	 1 672
Pesquería	 5 465	 1 395	2.79	16.55	2.01	0.07	2.39	1.09	1.81	4.66	-1.3326	Muy bajo	4.073	 104 112	 1 885
La Arena	317	81	6.36	28.11	2.47	0	11.11	1.26	9.88	12.35	-0.9947	Medio	6.7552	 93 639	 1 446
Dulces Nombres	94	24	4.84	25.42	0	0	50	1.1	0	0	-1.116	Bajo	5.7924	 98 635	 1 623
Dulces Nombres (La Lajita)	618	159	5.29	23.13	1.89	0	5.1	1.13	3.8	6.29	-1.1942	Bajo	5.1714	 101 115	 1 740
Ladrillera (Entronque Pesquería)	 2 133	585	2.72	13.32	1.2	0.34	3.61	1.06	2.4	9.57	-1.3388	Muy bajo	4.0234	 104 207	 1 893
Milpa	16	4	18.18	45.45	50	25	100	1.78	50	50	0.6888	Alto	20.1205	 22 991	131
La Providencia	424	108	6.71	29.93	0.93	5.56	15.74	1.12	12.04	9.26	-0.9741	Medio	6.919	 92 682	 1 424
San Juan	13	5	0	10	0	0	0	0.87	0	0	-1.5528	Muy bajo	2.3249	 106 210	 2 003
Santa María la Floreña	719	202	5.5	27.24	3.96	0	7.43	0.97	1.49	2.48	-1.2142	Bajo	5.0125	 101 700	 1 762
Santa María Pesquería	288	91	2.82	25.24	6.59	1.11	2.22	0.89	1.11	3.3	-1.2815	Bajo	4.4782	 103 240	 1 833
Santa María Pesquería	116	34	3.41	26.32	8.82	0	9.09	1.07	0	8.82	-1.1603	Bajo	5.4408	 100 139	 1 694
La Victoria	100	31	1.3	32.84	6.45	0	28.57	0.96	0	9.68	-1.0982	Bajo	5.934	 97 956	 1 598
Zacatecas	857	217	4.5	20.8	0	0	0.46	1.08	0.46	7.83	-1.2804	Bajo	4.4876	 103 219	 1 829
Francisco Villa	415	125	6.69	34.84	4	0	89.6	1.07	16.8	8.8	-0.688	Alto	9.1901	 78 008	964
El Roble (Merendero)	13	3	0	33.33	0	0	33.33	1.86	0	33.33	-0.7425	Alto	8.7578	 80 936	 1 040
Colonia la Mesa	172	47	2.72	27.14	2.13	0	0	0.92	0	4.26	-1.2976	Bajo	4.3507	 103 553	 1 850
Los Guerra (El Panteón)	11	4	0	16.67	0	0	0	0.73	0	25	-1.3738	Muy bajo	3.7456	 104 687	 1 925
Santa Mónica Uno	16	4	18.18	45.45	0	0	0	1.33	0	0	-0.8496	Medio	7.907	 86 663	 1 218
La Arena (Benavides)	10	3	12.5	25	0	0	0	1.11	0	0	-1.1828	Bajo	5.2618	 100 789	 1 720
José María (El Naranjo)	14	3	0	50	0	0	100	1.4	0	0	-0.6905	Alto	9.1699	 78 131	968
La Camisa	9	3	0	28.57	0	0	100	1	0	0	-1.0116	Medio	6.6212	 94 354	 1 469
La Chacra	21	4	7.14	35.71	0	0	50	1.62	0	0	-0.8434	Medio	7.9563	 86 330	 1 207
Sepúlveda (El General)	18	4	0	0	0	0	0	2.57	0	0	-1.1869	Bajo	5.2293	 100 891	 1 723
Ochenta y Tres	43	10	6.45	38.71	0	0	40	2.05	0	10	-0.6766	Alto	9.2806	 77 417	955
Camino A la Cieneguilla	5	3	0	40	0	0	33.33	0.71	0	0	-1.1927	Bajo	5.1834	 101 065	 1 735
La Floreña (Avícola)	52	13	2.86	29.41	0	0	0	1.27	0	15.38	-1.1228	Bajo	5.7382	 98 889	 1 635
Colinas del Aeropuerto	 3 774	 1 086	1.37	8.72	0.37	0.28	0.19	1.35	3.71	10.04	-1.3263	Muy bajo	4.123	 104 024	 1 882
Santa Ana	3	3	0	100	0	0	0	0.5	0	0	-0.7647	Alto	8.5814	 82 139	 1 083
Leopoldo Elizondo (Los Polos)	7	3	0	50	0	0	66.67	1	0	0	-0.9073	Medio	7.4495	 89 571	 1 317
Jesús María	249	70	7.03	33.52	1.43	18.57	91.18	1.14	30	62.86	-0.1543	Alto	13.4268	 51 004	433
El Sabinal (Hj)	120	41	7.78	46.59	7.32	2.44	85.37	1.17	29.27	21.95	-0.3446	Alto	11.9162	 59 809	582
Los Girasoles	69	21	4.76	28.57	0	0	38.1	1.47	0	0	-1.0231	Medio	6.53	 94 872	 1 487
El Trece	12	3	25	25	0	0	0	2	0	33.33	-0.5816	Alto	10.0346	 72 312	837
La Arena	62	16	9.52	42.86	6.25	6.25	6.25	1.31	0	6.25	-0.8559	Medio	7.8574	 86 978	 1 233
Las Palmas	189	50	7.44	33.33	2	14	98	1.43	42	74	0.0755	Alto	15.2514	 41 500	311
Campestre Dos Amigos	33	11	20	48	9.09	27.27	100	1.18	0	36.36	-0.0787	Alto	14.0271	 47 709	382
Aeropuertos	38	9	0	30.43	0	0	0	1.41	0	33.33	-1.0015	Medio	6.7016	 93 933	 1 450
Doña Juany	33	7	15	50	0	0	14.29	1.94	0	0	-0.6317	Alto	9.6369	 74 941	904
Jesús María	69	20	1.92	24.49	10	0	90	1.05	20	0	-0.8503	Medio	7.9016	 86 706	 1 221
Lomas de San Martín	 1 329	337	1.56	6.59	0.3	0	0	0.98	0.59	5.64	-1.497	Muy bajo	2.7678	 105 840	 1 984
Los Olmos	767	222	0	2.65	1.35	0	0	1.17	3.21	2.7	-1.497	Muy bajo	2.7675	 105 841	 1 985
